COUNTY,Area_m,Area_acres
Allegany,115054502,28430.58644
Anne Arundel,180174673,44522.13104
Baltimore,355198713,87771.51295
Baltimore City,38266532,9455.865931
Calvert,79220030,19575.69562
Caroline,78706398,19448.77439
Carroll,197293958,48752.39846
Cecil,156318101,38627.04375
Charles,174019757,43001.21818
Dorchester,89256965,22055.87625
Frederick,260948788,64481.84942
Garrett,216988249,53618.96372
Harford,194306083,48014.07848
Howard,158627050,39197.59747
Kent,82895775,20483.99198
Montgomery,314717229,77768.32046
Prince George's,289754271,71599.83924
Queen Anne's,110232774,27239.11151
Somerset,33286617,8225.302143
St. Mary's,131644727,32530.12029
Talbot,56024738,13844.01417
Washington,256903353,63482.20067
Wicomico,206819545,51106.22226
Worcester,134544096,33246.56997
