UACE10,GEOID10,NAME10,NAMELSAD10,LSAD10,MTFCC10,UATYP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,TC_ID,TC_Change_Acres,TCAcres2013,TCAcres2018,Can_P_2013,Can_P_2018
4843,4843,"Baltimore, MD","Baltimore, MD Urbanized Area",75,G3500,U,S,1857113332,65619042,39.2340994,-76.6477596,1,-0.55055079,33.37528835,32.82473756,49.07332386,48.13963855
70750,70750,"Poolesville, MD","Poolesville, MD Urban Cluster",76,G3500,C,S,7093023,42621,39.137918,-77.404871,2,-56.09193317,629.3808661,573.2889329,35.71170284,32.51304401
92242,92242,"Washington, DC--VA--MD","Washington, DC--VA--MD Urbanized Area",75,G3500,U,S,-2147483648,70051124,38.8972215,-77.1897586,3,-4366.182329,83400.15725,79033.97492,48.20997584,45.68130103
4843,4843,"Baltimore, MD","Baltimore, MD Urbanized Area",75,G3500,U,S,1857113332,65619042,39.2340994,-76.6477596,4,-213.8840398,5005.982147,4792.098107,48.26631678,46.1958295
91261,91261,"Waldorf, MD","Waldorf, MD Urbanized Area",75,G3500,U,S,176050965,656188,38.6093053,-76.9878705,5,-66.41327785,2103.230783,2036.817505,58.27730334,56.40125616
92242,92242,"Washington, DC--VA--MD","Washington, DC--VA--MD Urbanized Area",75,G3500,U,S,-2147483648,70051124,38.8972215,-77.1897586,6,-4980.197688,82007.19506,77026.99737,46.58201861,43.74794263
4843,4843,"Baltimore, MD","Baltimore, MD Urbanized Area",75,G3500,U,S,1857113332,65619042,39.2340994,-76.6477596,7,-13.37532009,1963.923888,1950.548568,31.56918184,31.32255423
15090,15090,"Centreville, MD","Centreville, MD Urban Cluster",76,G3500,C,S,6247941,0,39.0425699,-76.0641349,8,1.539960737,598.0377724,599.5777331,38.76324303,38.8353547
16210,16210,"Chestertown, MD","Chestertown, MD Urban Cluster",76,G3500,C,S,10214248,724885,39.2144991,-76.0637753,9,4.301610481,498.051769,502.3533795,56.2985077,56.71109187
76177,76177,"Romancoke, MD","Romancoke, MD Urban Cluster",76,G3500,C,S,9991426,480380,38.9004233,-76.3557378,10,-4.516097952,981.3481343,976.8320364,37.9497906,37.74975642
21151,21151,"Crisfield, MD","Crisfield, MD Urban Cluster",76,G3500,C,S,5655938,50579,37.9844483,-75.8435472,11,5.314742545,472.6681158,477.9828583,33.82345114,34.15999815
70453,70453,"Pocomoke City, MD","Pocomoke City, MD Urban Cluster",76,G3500,C,S,6642081,121659,38.0690351,-75.5551914,12,-0.468511803,26.6505625,26.18205069,24.27999289,23.77922608
72262,72262,"Princess Anne, MD","Princess Anne, MD Urban Cluster",76,G3500,C,S,9195367,31213,38.2031958,-75.6925341,13,5.607809527,580.5123174,586.1201269,25.48958337,25.70756263
78364,78364,"Salisbury, MD--DE","Salisbury, MD--DE Urbanized Area",75,G3500,U,S,183109755,5376520,38.3841051,-75.5429041,14,14.70202888,125.415124,140.1171529,47.51738588,52.89935452
20632,20632,"Country Lakes, MD","Country Lakes, MD Urban Cluster",76,G3500,C,S,8662283,3934,38.4057864,-76.8046389,15,-3.53657222,1437.575835,1434.039263,67.18360699,66.96472224
33760,33760,"Golden Beach, MD","Golden Beach, MD Urban Cluster",76,G3500,C,S,11831612,67506,38.4876301,-76.7172991,16,-33.03996635,1940.607024,1907.567058,66.21808272,65.05196767
49109,49109,"Leonardtown, MD","Leonardtown, MD Urban Cluster",76,G3500,C,S,15358684,1117138,38.2884843,-76.6473699,17,-13.71756104,1963.904614,1950.187053,51.35489234,50.96235749
49594,49594,"Lexington Park--California--Chesapeake Ranch Estates, MD","Lexington Park--California--Chesapeake Ranch Estates, MD Urbanized Area",75,G3500,U,S,129332370,11078997,38.3086542,-76.4664748,18,52.27118976,12558.43146,12610.70265,52.2070358,52.40023887
25741,25741,"Easton, MD","Easton, MD Urban Cluster",76,G3500,C,S,24859236,208685,38.768144,-76.0666013,19,21.13739433,1875.119898,1896.257292,30.54742077,30.86934682
36190,36190,"Hagerstown, MD--WV--PA","Hagerstown, MD--WV--PA Urbanized Area",75,G3500,U,S,345324863,505304,39.4217611,-77.9433816,20,-56.42997333,9837.044324,9780.614351,27.90477477,27.73159031
81496,81496,"Shepherdstown, WV--MD","Shepherdstown, WV--MD Urban Cluster",76,G3500,C,S,9271905,83495,39.438713,-77.7865408,21,3.154053089,674.4694437,677.6234968,41.53018693,41.69023759
93322,93322,"Waynesboro, PA--MD","Waynesboro, PA--MD Urban Cluster",76,G3500,C,S,45460139,86342,39.7302752,-77.5076267,22,0.40500572,523.721076,524.1260817,54.77259706,54.75528137
78364,78364,"Salisbury, MD--DE","Salisbury, MD--DE Urbanized Area",75,G3500,U,S,183109755,5376520,38.3841051,-75.5429041,23,225.2600302,11247.23446,11472.49449,35.14425974,35.83104692
70453,70453,"Pocomoke City, MD","Pocomoke City, MD Urban Cluster",76,G3500,C,S,6642081,121659,38.0690351,-75.5551914,24,8.545892513,514.2559515,522.801844,32.96534451,33.48607293
64660,64660,"Ocean Pines, MD--DE","Ocean Pines, MD--DE Urban Cluster",76,G3500,C,S,60418274,3338951,38.380778,-75.128799,25,-87.70017094,4261.161306,4173.461136,33.51971457,32.78196655
