GENZONE,JURSCODE,ZONING,MUNICIPALITY_NAME,ACRES,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Area_Acres_Change,LowVeg_Area_Acres_Change,Barren_Area_Acres_Change,Water_Area_Acres_Change,Buildings_Area_Acres_Change,Road_Area_Acres_Change,Shrub_Area_Acres_Change,Wetlands_Area_Acres_Change,Impervious_Area_Acres_Change,TC_OutsideForest_A_Acres_2013,TC_InsideForest_A_Acres_2013,TC_OutsideForest_A_Acres_2018,TC_InsideForest_A_Acres_2018,TC_InsideForestChange_acres,TC_OutsideForestChange_acres
COMMERCIAL,GARR,D-CR1,DEEP CREEK WATERSHED,197.3396465,1,1.306918642,-0.696597529,-0.336465497,-0.00025044,-0.003380934,-0.002253956,-0.283497538,0,0.01552725,2.57903906,-1.37464734,-0.66397221,-0.000494211,-0.006671846,-0.004447897,-0.559446626,0,0.03064107,49.43432878,14.25931202,52.01744257,14.25523729,-0.004074724,2.583113784
COMMERCIAL,GARR,D-GC,DEEP CREEK WATERSHED,110.8975907,2,-0.00311952,-0.295017458,0.202545974,0,0.034760365,0,0,0,0.060830639,-0.003459476,-0.32716755,0.224618809,0,0.038548442,0,0,0,0.067459774,51.00834576,18.79151658,51.00044113,18.79596173,0.004445154,-0.007904629
MEDIUM DENSITY RESIDENTIAL,GARR,D-TR,DEEP CREEK WATERSHED,717.2265942,3,-0.356426706,0.059605433,0.204243356,-0.000378994,0.027011942,0.041861619,0,0,0.024083351,-2.556305363,0.427492342,1.464840811,-0.002718159,0.193730634,0.300233061,0,0,0.172726675,366.1966144,119.1119665,364.0192584,118.7330171,-0.378949348,-2.177356015
MIXED USE,GARR,D-CR2,DEEP CREEK WATERSHED,401.2859836,4,0.069092839,-0.377301093,0,-0.000862121,0.197548867,-0.021306704,0,0,0.132828213,0.277252259,-1.514014786,0,-0.003459476,0.792714123,-0.085498468,0,0,0.533006348,116.3769285,26.69833362,116.6541808,26.69833362,0,0.277252259
MIXED USE,GARR,D-TC,DEEP CREEK WATERSHED,663.4726798,5,-1.023734429,0.633399829,-0.074342353,-0.000223474,0.084584912,-0.006815957,0,0,0.387131473,-6.791939024,4.202274432,-0.493222378,-0.001482632,0.561176363,-0.045220288,0,0,2.568413528,279.0761446,27.42622752,272.6587097,27.05172333,-0.374504194,-6.41743483
OTHER,GARR,WATER,,3363.08397,6,0.002454127,0.002410041,0,-0.000624553,0,-2.94E-05,-0.00393836,0,-0.000271864,0.082533204,0.081050571,0,-0.021003959,0,-0.000988422,-0.132448494,0,-0.0091429,391.1316274,32.99785718,391.2100859,33.00193191,0.004074724,0.078458479
VERY LOW DENSITY RESIDENTIAL,GARR,D-AR,DEEP CREEK WATERSHED,6474.254936,7,-0.043053874,0.081168766,0.026782716,-3.82E-06,0.010210028,-0.00045802,-0.093848285,0,0.019202486,-2.787348912,5.254943436,1.733938592,-0.000247105,0.661006945,-0.029652648,-6.075827575,0,1.243187267,1940.270056,599.8442197,1938.212453,599.1144736,-0.729746056,-2.057602856
VERY LOW DENSITY RESIDENTIAL,GARR,D-LR1,DEEP CREEK WATERSHED,14469.04241,8,-1.083625531,1.136514471,-0.10751648,-0.000102471,0.038867428,0.009282207,-0.015269957,0,0.021850333,-156.7868937,164.4392537,-15.55627335,-0.014826324,5.623624693,1.343017849,-2.209369381,0,3.161466488,7794.301491,3055.245592,7651.715381,3041.044808,-14.20078416,-142.5861095
VERY LOW DENSITY RESIDENTIAL,GARR,D-LR2,DEEP CREEK WATERSHED,7355.668121,9,0.024268569,-0.083240117,0.047327741,-5.71E-05,0.011160048,-0.000557666,-0.005089546,0,0.006188082,1.78508941,-6.122777601,3.481220875,-0.004200792,0.820884139,-0.041019496,-0.374364681,0,0.455168147,3191.406328,1711.444531,3203.882383,1700.753566,-10.69096493,12.47605434
VERY LOW DENSITY RESIDENTIAL,GARR,D-RR,DEEP CREEK WATERSHED,7172.398348,10,-0.164859568,0.19943012,0.000802764,-0.000165376,0.000654615,-0.000210166,-0.037471529,0,0.00181914,-11.82399339,14.30344897,0.057575558,-0.011861059,0.046950026,-0.015073429,-2.68751833,0,0.130471651,4059.644712,2248.85805,4049.080919,2247.597849,-1.260201057,-10.56379233
COMMERCIAL,WORC,C1,,127.7170246,11,-7.431361813,0.381715573,1.783983424,0.348245327,1.102196461,0,-0.004449801,0,3.819670831,-9.491565519,0.487538954,2.278558893,0.44478972,1.407759464,0,-0.005683424,0,4.878601912,43.76362931,16.85972689,34.97402764,16.15776305,-0.701963846,-8.789601674
COMMERCIAL,WORC,C2,,2055.02264,12,0.827713373,-1.928080458,-0.091990866,0,0.063227186,0.013852742,-0.028066233,-0.000709472,1.144053728,17.009006,-39.62087984,-1.89035631,0,1.299280193,0.284665421,-0.576744004,-0.014579219,23.50960776,465.3912008,306.9700861,478.4740248,310.8962681,3.926181952,13.08282405
COMMERCIAL,WORC,C3,,349.8776219,13,-0.003531423,-0.676338056,-0.10036303,0,0.941124122,-0.000282514,0,0,-0.1606091,-0.01235527,-2.36628131,-0.351136773,0,3.292679455,-0.000988422,0,0,-0.56191768,60.63263989,74.09515472,60.62028462,74.09515472,2.56E-13,-0.01235527
COMMERCIAL,WORC,CA,,418.3745189,14,-1.57331867,1.816126428,-0.319471458,0,0,0,-0.003839091,-0.195852718,0.276355509,-6.582393645,7.598243945,-1.336593109,0,0,0,-0.016061851,-0.819401506,1.156206167,74.69127205,4.536649718,68.99457527,3.650952856,-0.885696863,-5.696696783
INDUSTRIAL,WORC,I1,,1156.508717,16,2.367745549,-2.628069566,0.089082396,0,0.032372231,0,-4.27E-05,-0.039444975,0.178357102,27.38150227,-30.39198736,1.030182413,0,0.374364681,0,-0.000494211,-0.456156568,2.062588774,346.212636,386.4405429,371.591967,388.4427142,2.002171285,25.37933098
INDUSTRIAL,WORC,I2,,322.938317,17,1.240128818,-1.350078541,0.100921145,0.204520257,-0.492210556,-0.001224214,0,0,0.297943091,4.005084323,-4.360174783,0.325932023,0.660512734,-1.589629038,-0.003953686,0,0,0.962228428,59.78315673,55.78408516,63.76786743,55.80445879,0.020373621,3.984710702
VERY LOW DENSITY RESIDENTIAL,WORC,R1,,4419.932445,18,0.265031778,-0.68447488,0.060048228,-0.00546757,0.20677253,-0.001872838,-0.018761926,-0.064196425,0.242921104,11.7145257,-30.25410254,2.654159101,-0.241669081,9.139440324,-0.082780309,-0.829285722,-2.837511308,10.73722384,1231.003809,613.4756537,1244.022246,612.171742,-1.303911734,13.01843743
MEDIUM DENSITY RESIDENTIAL,WORC,R2,,4628.003441,19,-1.075421246,0.781189326,0.005736577,-0.000731761,0.021899409,-0.000293773,-0.013070209,-0.010858902,0.291550578,-49.75220124,36.14015317,0.2653912,-0.03385344,1.01313214,-0.013590797,-0.604666914,-0.502365278,13.48800115,1749.931158,570.764395,1719.490186,551.4531659,-19.31122913,-30.44097211
MEDIUM DENSITY RESIDENTIAL,WORC,R3,,1539.38269,20,-0.997358366,0.218239359,0,0,0.261402469,-1.61E-05,-0.002455915,-0.032263983,0.552452488,-15.35364692,3.359645018,0,0,4.024111439,-0.000247105,-0.037807126,-0.496681854,8.504626552,564.4276534,86.6797551,549.6492834,86.10447814,-0.575276967,-14.77836996
MEDIUM DENSITY RESIDENTIAL,WORC,R4,,1204.402554,21,-0.41284239,-0.302604731,-0.010135381,-0.000225687,0.182170141,-0.002523587,-0.022732798,-0.00432908,0.573223513,-4.972254859,-3.644557545,-0.122070068,-0.002718159,2.194048847,-0.030393964,-0.273792783,-0.052139239,6.903877771,399.8308694,137.9253384,394.5178194,138.2661335,0.340795112,-5.313049971
MIXED USE,WORC,V1,,1079.968588,22,0.065944949,0.258402604,-0.490903167,0,-0.001670361,-0.003500894,-0.063061859,-9.15E-05,0.234880256,0.712157763,2.790561282,-5.301399252,0,-0.018038694,-0.037807126,-0.681022482,-0.000988422,2.536536931,296.0312135,93.9764748,297.0204526,93.69939356,-0.277081244,0.989239006
OTHER,WORC,RP,,87217.83457,23,0.995813357,-0.969707496,0.003225048,0.015149878,0.001760586,-0.000364132,-0.040015139,-0.01105488,0.005192778,868.369148,-845.6043159,2.812306557,13.210996,1.53526585,-0.317530439,-34.89400064,-9.640075865,4.528206455,19597.89019,42736.32052,20572.3933,42630.18655,-106.13397,974.503118
VERY LOW DENSITY RESIDENTIAL,WORC,A1,,169005.9836,24,0.970236614,-1.338312682,0.205905068,0.055821153,0.043903104,0.003230836,-0.017450023,-0.006431842,0.083097772,1639.604129,-2261.616359,347.9592451,94.33223934,74.19191372,5.459793813,-29.48881712,-10.86917812,140.4270336,39217.28246,44932.59092,41569.17097,44220.30654,-712.284381,2351.888509
VERY LOW DENSITY RESIDENTIAL,WORC,A2,,7351.54399,25,-0.308563857,-0.638599456,0.713854752,0.06280182,0.051840745,-0.001132745,-0.018786094,-0.037649496,0.176234331,-22.68427572,-46.94706074,52.47950354,4.616917294,3.811106584,-0.08327452,-1.381072081,-2.767827585,12.95598323,1812.033605,1828.171673,1838.501615,1779.019386,-49.15228636,26.46801064
VERY LOW DENSITY RESIDENTIAL,WORC,E1,,4717.558781,26,1.265143442,-1.469774504,0.069083346,-0.001215205,0.03820562,0.00109997,-0.046958238,-0.073257993,0.217673562,59.68435568,-69.33802235,3.259073121,-0.057328453,1.802386788,0.051892134,-2.215299911,-3.456016124,10.26895911,919.3306507,706.5890279,978.9824086,706.6216257,0.032597793,59.65175789
COMMERCIAL,WICO,C-2,,392.4298049,28,2.087336948,-0.983283674,0,0,0.047350751,-6.30E-05,-1.526683911,0,0.375342852,8.19154401,-3.858797926,0,0,0.185823261,-0.000247105,-5.991317528,0,1.472995289,117.6209874,24.90767756,123.6495938,27.07061523,2.162937675,6.028606335
MIXED USE,WICO,DM-CB,DELMAR,270.5184034,30,-4.756807215,3.747975715,0.200578902,-0.006850372,0.144040496,-0.014522789,-0.198386783,0,0.883972047,-12.86900213,10.13972298,0.542643458,-0.018532905,0.389685216,-0.039289759,-0.536712929,0,2.391486061,68.78692764,1.520983404,55.77493973,1.663969179,0.142985775,-13.0119879
COMMERCIAL,WICO,F-C3,FRUITLAND,66.68487623,33,5.621183376,-5.258789352,0,0,-0.00185273,-0.000741092,0,0,-0.359800202,3.748588918,-3.506919837,0,0,-0.001235527,-0.000494211,0,0,-0.239939343,17.43617499,4.080280611,21.15031397,4.114730552,0.034449941,3.714138977
COMMERCIAL,WICO,F-C4,FRUITLAND,135.2977235,34,0.944090621,-1.271024692,0,0,-0.001643803,-0.021004144,0,0,0.349582018,1.277287813,-1.719606479,0,0,-0.002223949,-0.028417121,0,0,0.472959736,14.59413592,0.147430929,15.87142373,0.147430929,2.78E-16,1.277287813
COMMERCIAL,WICO,LB-1,,447.6830481,38,0.196493041,-0.126450999,0.221441034,-0.001490256,-0.002152592,-0.000110389,-0.471693687,0,0.18396385,0.879695224,-0.566118471,0.991386865,-0.006671846,-0.009637111,-0.000494211,-2.111762748,0,0.823602298,101.7986454,126.90358,102.6783406,126.90358,2.42E-13,0.879695224
COMMERCIAL,WICO,MS-HW,MARDELA SPRINGS,23.00680292,39,-2.712949339,0.532708976,0,0,0,-0.00107401,0,0,2.181314373,-0.62418824,0.122564278,0,0,0,-0.000247105,0,0,0.501871067,6.006539927,1.442452356,5.471254759,1.353549283,-0.088903073,-0.535285168
COMMERCIAL,WICO,P-C2,PITTSVILLE,44.40909565,41,-0.601521331,-1.959813256,0,0,0.288240564,0,0,0,2.273094023,-0.267120937,-0.870305219,0,0,0.128000597,0,0,0,1.009425559,4.783277757,0.094829944,4.51615682,0.094829944,2.36E-16,-0.267120937
COMMERCIAL,WICO,S-GC,SALISBURY,1138.501532,42,0.693926876,-2.209961659,-0.047118358,0.055539326,0.334256023,0.275330946,-0.022658482,0,0.920685328,7.900700954,-25.16150736,-0.536465823,0.632342719,3.805670265,3.134779104,-0.257978038,0,10.48245817,125.9208924,16.1081255,133.8293723,16.10034648,-0.007779019,7.908479973
COMMERCIAL,WICO,S-RC,SALISBURY,187.7774218,45,-0.140408408,-0.973252659,0.436358277,-0.012369625,0.092640599,-0.001315918,0,0,0.598347734,-0.263661462,-1.827591538,0.819401506,-0.023227908,0.173962202,-0.002471054,0,0,1.123588254,16.46026872,0.335979529,16.19660726,0.335979529,0,-0.263661462
HIGH DENSITY RESIDENTIAL,WICO,S-PRD,SALISBURY,529.7300538,48,0.880084263,-1.139206968,0.114097954,-0.042495191,0.142879,0.000653055,-0.263740734,0,0.30772862,4.662137582,-6.034808079,0.604419808,-0.225113019,0.75688384,0.003459476,-1.397133932,0,1.630154324,126.0076153,60.33036605,130.6764206,60.32369832,-0.00666773,4.668805312
INDUSTRIAL,WICO,ABP,,1103.596219,49,0.641912505,0.865055971,-0.279746585,0,0,-0.000335857,0,0,-1.226886034,7.084264713,9.546917129,-3.087334868,0,0,-0.003706581,0,0,-13.54014039,118.4472528,93.68087209,125.5774507,93.63493883,-0.045933254,7.130197967
INDUSTRIAL,WICO,CID,,50.2885976,50,-0.21620028,0.089428298,0,0,0,0,0,0,0.126771982,-0.108726376,0.044973183,0,0,0,0,0,0,0.063753193,3.811253365,0.23781572,3.702526989,0.23781572,5.00E-16,-0.108726376
INDUSTRIAL,WICO,F-M1,FRUITLAND,109.8694471,52,-0.908123863,6.447499511,0,0,0.015292824,-0.007421517,0,0,-5.547246954,-0.997811605,7.084264713,0,0,0.016803167,-0.008154478,0,0,-6.095101796,23.96215682,1.962164902,22.96434522,1.962164902,4.88E-15,-0.997811605
INDUSTRIAL,WICO,F-M3,FRUITLAND,69.81198102,54,-1.070747187,0.573070974,0,0,0,-0.005663456,0,0,0.503339669,-0.747493835,0.400063643,0,0,0,-0.003953686,0,0,0.351383879,9.595078165,1.561730645,8.84758433,1.561730645,2.44E-15,-0.747493835
INDUSTRIAL,WICO,I-1,,294.4427877,55,0.695442156,-0.887785998,0,0,0,0,0,0,0.192343842,2.04776245,-2.614128027,0,0,0,0,0,0,0.566365577,76.5774608,44.02628336,78.62522325,44.02628336,2.42E-13,2.04776245
INDUSTRIAL,WICO,I-2,,2050.697422,56,-0.681559198,0.861868797,-0.400418891,0.107253124,0.046860734,-0.000108446,-0.110265513,0,0.176369393,-13.97702274,17.67470795,-8.211559547,2.199485165,0.960992901,-0.002223949,-2.261261515,0,3.61688174,568.2867715,219.1182922,555.6240325,217.8040084,-1.314283759,-12.66273898
COMMERCIAL,WICO,LB-1,,564.7984404,57,-0.93200025,-0.466590746,0.636164655,-0.012993666,0.150586531,0,0,0,0.624833478,-5.264086336,-2.635379091,3.593159621,-0.073390304,0.850536787,0,0,0,3.529159323,137.4638958,36.87662416,133.126624,35.94980963,-0.926814534,-4.337271802
INDUSTRIAL,WICO,P-M1,PITTSVILLE,59.50822577,58,-0.289419376,-14.12715352,0,2.316600713,0,-0.001245707,0,0,12.10121789,-0.172232464,-8.407019919,0,1.378601027,0,-0.000741316,0,0,7.201392672,6.822278865,5.717578868,6.650046402,5.717578868,2.40E-14,-0.172232464
INDUSTRIAL,WICO,S-I,SALISBURY,121.0687491,59,-0.489638802,-6.762485381,2.24735842,-0.003265619,1.102554735,0,0,0,3.905476648,-0.592805855,-8.187343218,2.720877559,-0.003953686,1.334863371,0,0,0,4.728361829,25.69393792,7.674928187,25.10113207,7.674928187,2.40E-14,-0.592805855
INDUSTRIAL,WICO,S-IP,SALISBURY,216.6000178,60,2.112941166,-2.2801786,0,0,0,0,0,0,0.167237434,4.576886219,-4.939142735,0,0,0,0,0,0,0.362256516,56.11722228,2.331853513,60.69410849,2.331853513,7.55E-15,4.576886219
INDUSTRIAL,WICO,S-LI,SALISBURY,468.3791505,61,-0.081982607,-0.893895303,-0.93599448,0.016037782,0.451326388,-0.000211023,0,0,1.444719244,-0.384001792,-4.186953898,-4.384144007,0.075120042,2.113986697,-0.000988422,0,0,6.766981379,121.3269807,2.936394408,120.8970457,2.982327662,0.045933254,-0.429935046
LOW DENSITY RESIDENTIAL,WICO,F-R1A,FRUITLAND,256.6319234,62,0.503480748,-0.861761846,0.084539318,0,0.044484243,-0.017716668,0,0,0.246974205,1.292114137,-2.21159333,0.216958541,0,0.114162695,-0.045467394,0,0,0.633825351,96.99828477,4.244751296,98.29039891,4.244751296,0,1.292114137
