DESCLU,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Area_Change,LowVeg_Area_Change,Barren_Area_Change,Water_Area_Change,Buildings_Area_Change,Road_Area_Change,Shrub_Area_Change,Wetlands_Area_Change,Impervious_Area_Change,Forest_Change,TC_Change_Acres,LowVeg_Change_Acres,Barren_Change_Acres,Water_Change_Acres,Buildings_Change_Acres,Road_Change_Acres,Shrub_Change_Acres,Wetlands_Change_Acres,Impervious_Change_Acres,Forest_Change_Acres,Outside_Forest_Change_Acres
 ,1,-0.742108143,0.302863846,0.02559168,0.004416013,0.009166334,0.09766473,0.002187266,-0.000724844,0.300943118,-9964823,4066772,343638,59297,123083,1311415,29370,-9733,4040981,2522013.406,-2462.357587,1004.919695,84.91466799,14.65258519,30.41442472,324.0572036,7.25747385,-2.405072965,998.54661,623.2021228,-3085.55971
Agricultural,2,0.095758078,-0.24713389,0.071335458,0.015891616,0.026108462,-0.000440146,-0.01050129,-0.002610341,0.051592054,11174753,-28839971,8324688,1854516,3046799,-51364,-1225477,-304621,6020677,14417128.21,2761.33734,-7126.501034,2057.072028,458.2601762,752.8792669,-12.69230122,-302.8214941,-75.27337221,1487.73939,3562.544466,-801.2071261
Apartments,3,-1.547045889,0.284941073,-0.037627785,0.006300436,0.597951772,0.04165976,-0.055778731,-4.6694E-05,0.709646058,-1424657,262399,-34651,5802,550647,38364,-51366,-43,653505,264369.3305,-352.039868,64.8401049,-8.562435355,1.43370321,136.0676269,9.47993622,-12.69279543,-0.010625515,161.484353,65.32698342,-417.3668514
Commercial,4,-0.645661708,-0.338332688,0.015543845,0.009579973,0.259322555,0.000209497,-0.068371325,-0.010125306,0.777835158,-5233177,-2742233,125985,77647,2101845,1698,-554159,-82067,6304461,2291742.031,-1293.144203,-677.6194855,31.13152343,19.18696193,519.3764087,0.41958429,-136.9354597,-20.27916603,1557.863835,566.3009145,-1859.445117
Commercial / Residentia,5,-0.32253872,-0.446583835,0.276440017,0.027160325,0.107048772,-0.012015822,-0.30366517,-0.002353557,0.676507991,-114431,-158440,98076,9636,37979,-4263,-107735,-835,240013,-52100.34353,-28.27647226,-39.1513162,24.23506998,2.38110378,9.384800795,-1.053408615,-26.62185718,-0.206332675,59.30841237,-12.87425539,-15.40221687
Commercial Condominium,6,-0.466070813,-3.552845684,-0.658707899,-0.000176211,0.205316627,-0.313058249,-0.009569031,0,4.795111259,-60834,-463736,-85978,-23,26799,-40862,-1249,0,625883,751.0364583,-15.03238557,-114.5914843,-21.24559369,-0.005683415,6.622166895,-10.09720451,-0.308634145,0,154.6588187,0.185584864,-15.21797043
Country Club,7,-0.629208161,0.477425511,-0.018109855,0.028324753,0.00760088,-0.003080807,-0.002922099,-0.008445768,0.148415546,-404385,306836,-11639,18204,4885,-1980,-1878,-5428,95385,61223.71256,-99.92555542,75.82070978,-2.876055095,4.49829942,1.207107925,-0.4892679,-0.46406319,-1.34128594,23.57011043,15.12868549,-115.0542409
Exempt,8,0.027187613,-0.140190998,0.025664397,0.013041471,0.022288758,-0.000935493,-0.03031186,-0.003782923,0.087039035,618069,-3187029,583441,296478,506701,-21267,-689094,-85999,1978700,5594623.483,152.7279402,-787.530801,144.1711883,73.26119619,125.2083506,-5.255182035,-170.2785729,-21.2507829,488.9466635,1382.459436,-1229.731496
Exempt Commercial,9,-0.116729047,-0.212646856,0.017594372,0.010520315,0.039185772,0.001552511,0.01567436,-0.006900972,0.251749545,-1822239,-3319597,274663,164231,611723,24236,244690,-107730,3930023,1293472.165,-450.2843681,-820.2890167,67.87060062,40.58230126,151.1598119,5.98883678,60.46412245,-26.62062165,971.1283334,319.6234395,-769.9078075
Industrial,10,-1.16388074,-1.322834896,0.908695412,-0.041283073,0.375590117,-0.01344665,-0.060969966,-0.003037479,1.321167275,-4647508,-5282230,3628524,-164848,1499774,-53694,-243460,-12129,5275571,2067306.553,-1148.422464,-1305.265444,896.626423,-40.73476504,370.6016543,-13.26805587,-60.1601833,-2.997136545,1303.619972,510.8417857,-1659.26425
Marsh Land,11,-0.070861492,0.066322198,0.003639987,-0.000137635,-0.00012895,-7.34946E-06,-0.000389521,-0.001976337,0.003539099,-106059,99265,5448,-206,-193,-11,-583,-2958,5297,104761.341,-26.2077092,24.52887783,1.34622804,-0.05090363,-0.047691265,-0.002718155,-0.144062215,-0.73093659,1.308915185,25.88705117,-52.09476037
Residential,12,-0.606789183,0.199490389,0.059779774,0.006777475,0.145011815,0.008309065,-0.015400283,-0.003676146,0.206497092,-37154792,12215155,3660423,414997,8879334,508779,-942987,-225097,12644188,19006577.09,-9181.134877,3018.425876,904.5088254,102.5478337,2194.127828,125.7218348,-233.0168026,-55.62259419,3124.442076,4696.620232,-13877.75511
