CPFA,MUN_CODE,MUN_NAME,RUVI_CODE,RUVI_NAME,COMMENT_,ACRES,JURSCODE,STATE_ELIGIBLE,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Change_Acres,LowVeg_Change_Acres,Barren_Change_Acres,Water_Change_Acres,Buildings_Change_Acres,Road_Change_Acres,Shrub_Change_Acres,Wetlands_Change_Acres,Impervious_Change_Acres,Forest_Change,Forest_Change_Acres,NonForest_Change_Acres
IN,,, , ,NO,107.3155094,PRIN,YES,1,-3.044361152,2.625108209,0,0,0,-0.003453484,-0.006676735,0,0.429383162,-3.267469415,2.81749121,0,0,0,-0.003706575,-0.007166045,0,0.460850825,-2972.665263,-0.73456045,-2.532908965
IN,,, , ,NO,278.5715007,PRIN,YES,2,-11.74713355,3.983002215,5.975212894,0,0.7966714,0.175707642,-0.326935068,0,1.14347447,-32.72708041,11.09649713,16.64672254,0,2.21949711,0.489515005,-0.91082903,0,3.18567766,-101920.5943,-25.18508846,-7.541991947
IN,,, , ,NO,2853.963077,PRIN,YES,3,-2.113511451,1.289449507,-0.014051233,0.017964453,0.129690367,-0.02491648,-0.022501019,0,0.737875855,-60.32401392,36.8035716,-0.401051415,0.512742875,3.7016329,-0.71116819,-0.642225895,0,21.06051204,-39780.94709,-9.830070931,-50.49394298
IN,,, , ,NO,49.16200663,PRIN,YES,4,-1.955906667,1.894093584,0,0,0,-0.124631257,-0.027137451,0,0.213581792,-0.96173266,0.931338745,0,0,0,-0.06128204,-0.01334367,0,0.105019625,-824.4911218,-0.203735879,-0.757996781
IN,MUN,LAUREL, , ,NO,19.00365604,PRIN,YES,5,-3.701921827,3.48477362,0,0,0.003900866,-0.029906639,0,0,0.24315398,-0.703507935,0.6622414,0,0,0.000741315,-0.005683415,0,0,0.046208635,-25.48427104,-0.006297291,-0.697210644
IN,,, , ,NO,0.90473659,PRIN,YES,6,-4.998634253,3.796776837,0,0,0,0,0,0,1.201857416,-0.045220215,0.034347595,0,0,0,0,0,0,0.01087262,0,0,0
IN,,, , ,NO,15.44332018,PRIN,YES,7,-1.847852172,1.662267019,0,0,0,0,0,0,0.185585153,-0.285406275,0.256742095,0,0,0,0,0,0,0.02866418,0,0,0
IN,MUN,LAUREL, , ,NO,2.42704091,PRIN,YES,8,-1.812073705,1.842614273,0,0,0,-0.030540568,0,0,0,-0.04398469,0.044726005,0,0,0,-0.000741315,0,0,0,-5.996299068,-0.001481715,-0.042502975
IN,MUN,LAUREL, , ,NO,45.06456958,PRIN,YES,9,-0.614637249,0.356390911,0,0,0,0,0,0,0.258246337,-0.277004705,0.16061825,0,0,0,0,0,0,0.116386455,0,0,-0.277004705
IN,MUN,COLLEGE PARK, , ,NO,63.59878458,PRIN,YES,10,0.016705387,-0.258739248,0,0,-0.010100932,0,-0.003496476,0,0.255631269,0.010625515,-0.16457193,0,0,-0.00642473,0,-0.002223945,0,0.16259509,13.4916729,0.00333386,0.007291655
