COUNTY,DISTRICT,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Area_Acres_Change,LowVeg_Area_Acres_Change,Barren_Area_Acres_Change,Water_Area_Acres_Change,Buildings_Area_Acres_Change,Road_Area_Acres_Change,Shrub_Area_Acres_Change,Wetlands_Area_Acres_Change,Impervious_Area_Acres_Change,Forest_A_2013_Acres,TC_OutsideForestChange_acres,TC_InsideForestChange_acres,Forest_A_Acres_2018
Allegany,6,1,-0.221570268,0.261580551,-0.048822243,-0.008434478,0.010225581,-0.000658109,-0.003527028,0,0.011205995,-600.3336735,708.7395538,-132.2814511,-22.8528016,27.70570455,-1.783112566,-9.556307134,0,30.3620876,156993.6677,-190.0944735,-410.2392,156583.4285
Anne Arundel,5,2,-0.740251182,0.004363657,0.129058613,0.007169218,0.140999132,0.000880213,0.016301658,-0.000819299,0.44229799,-1960.92813,11.55934351,341.8767456,18.99128552,373.5072253,2.331686554,43.18315128,-2.170326728,1171.649019,78949.54921,-903.82021,-1057.10792,77892.44129
Baltimore,4,3,-0.256556234,-0.169901077,0.094723742,-0.002398528,0.098868335,-0.012869893,0.015997532,-0.000127788,0.232263911,-984.2783838,-651.8257439,363.4077805,-9.201957991,379.3085187,-49.3753655,61.37455662,-0.490257114,891.0808524,99877.90485,-655.8100538,-328.46833,99549.43652
Baltimore City,0,4,0.213937496,-0.331398572,0.004594387,-0.016942187,0.108475116,-0.10905173,-0.005192374,-8.55E-06,0.135586414,111.3019556,-172.4116152,2.390250534,-8.814249618,56.43467257,-56.73465852,-2.701356233,-0.004447897,70.5394488,1896.336992,117.5611016,-6.259146,1890.077846
Calvert,5,5,-0.545222878,0.19426416,0.012365227,0.001590793,0.153541083,0.006774385,-0.075917301,-0.002305821,0.254910352,-747.6613725,266.3934591,16.95637255,2.181446471,210.5501098,9.289680408,-104.1050108,-3.161960698,349.5572757,62184.87674,-154.3489325,-593.31244,61591.5643
Caroline,2,6,-0.012281854,-0.198131639,0.087064704,0.054744612,0.059592789,0.007952225,-0.141820411,-0.001332908,0.144212482,-25.16669657,-405.9907127,178.4039212,112.1769558,122.1113342,16.29487139,-290.6036107,-2.731255986,295.5051934,36708.56735,4.39357343,-29.56027,36679.00708
Carroll,7,7,0.23166695,-0.547986723,0.089410282,0.001396872,0.073765781,0.00838484,0.038281782,0,0.105080217,666.2391547,-1575.927044,257.1304661,4.017192488,212.1392446,24.11353335,110.0926218,0,302.1948308,51890.78809,756.2405547,-90.0014,51800.78669
Cecil,2,8,-0.069270343,-0.407032497,0.148387268,0.004120875,0.105319556,0.000229104,0.046053256,-0.001496316,0.173689097,-154.5817251,-908.3221375,331.1368036,9.196027461,235.0281236,0.511261073,102.7711359,-3.33913527,387.5996462,58094.53823,184.4834849,-339.06521,57755.47302
Charles,5,9,-0.264205969,-0.047275401,0.028073054,0.01855857,0.094830541,0.034658036,0.01634968,-0.013262904,0.132274393,-778.3367897,-139.2708274,82.70172948,54.67256396,279.3657513,102.1007389,48.16529036,-39.07181164,389.6733547,146091.7909,167.7182103,-946.055,145145.7359
Dorchester,1,10,0.018025943,-0.03550418,0.04383373,0.008352258,0.014869411,-0.001065441,-0.08675514,-0.009609973,0.047853392,62.5727707,-123.2443125,152.1583624,28.99287658,51.61562306,-3.698426522,-301.149822,-33.35873479,166.111663,47762.91692,573.0042007,-510.43143,47252.48549
