County,LC Class 5 6,Plantable Area LULC,plantable,Land Area,Land Area Meters
Allegany,420927844.7,146809486.5,115054502,270209.6402,1093500585
Anne Arundel,678087318.9,217081210.2,180174673,262963.7801,1064177603
Baltimore,956546759.1,419028061,355198713,380915.3999,1541511295
Baltimore City,88117872.55,47833165,38266532,51650.69421,209023128.4
Calvert,314652531.4,108234640.2,79220030,136240.5164,551346296.2
Caroline,331567036.1,93996485.85,78706398,203367.0365,822997925.3
Carroll,480218757.4,261519175.3,197293958,286591.8697,1159797174
Cecil,601625536.7,193142397.7,156318101,220959.4085,894191791.9
Charles,512368259.3,218259972,174019757,291897.2203,1181267185
Dorchester,681022500.4,104626688.3,89256965,337574.2917,1366115898
Frederick,1135406676,344410835.7,260948788,422430.6398,1709517659
Garrett,1158011813,306549245.3,216988249,413876.4441,1674900027
Harford,439803708,161700788,98330283.63,241473.9299,977211188
Howard,401618668,194031226.4,158627050,160199.3022,648304148.1
Kent,492176402.1,111626038.5,82895775,175770.5815,711318935.4
Montgomery,750332095.1,410739457.2,314717229,315684.7845,1277532127
Prince George's,672814989,365107830.9,289754271,307567.1884,1244681352
Queen Anne's,484152815.8,149193527.2,110232774,235067.5808,951285590
Somerset,412748312.7,47154607.06,33286617,198931.7326,805048871.4
St. Mary's,559226741.3,169209353.6,131644727,227713.6945,921525441.7
Talbot,372927179,80762887.89,56024738,169445.0697,685720474.8
Washington,747776721.1,305155198.6,256903353,290750.4347,1176626304
Wicomico,435605417.5,231637890.4,206819545,237457.0427,960955407.8
Worcester,485080225.6,190755968,134544096,295001.6309,1193830300
