,OID_,NAME,2013_Water_A,2013_Wet_A,2013_Can_A,2013_Shrub_A,2013_LowVeg_A,2013_Barren_A,2013_Struc_A,2013_Imperv_A,2013_Road_A,2013_APG_A,2013_Total_A,OID_,NAME,Water_A,Wet_A,TC_A,Shrub_A,LowVeg_A,Barren_A,Struc_A,Imperv_A,Road_A,TCoS_A,TCoI_A,TCoR_A,APG_A,Can_A,Can_A_acres,LowVeg_A_acres,Shrub_A_acres,Barren_A_acres,Water_A_acres,Struc_A_acres,Imperv_A_acres,Road_A_acres,APG_A_acres,2018_Total_A,Water_Pchange,Wet_Pchange,Can_Pchange,Shrub_Pchange,LowVeg_Pchange,Barren_Pchange,Struc_Pchange,Imperv_Pchange,Road_Pchange
0,0,Allegany,10857241.0,0.0,901411483.0,1076682.0,157472652.0,6446219.0,7149126.0,12404171.0,11445685.0,0.0,1108263259.0,0,Allegany,10757701.0,0.0,894539851.0,1037961.0,160342792.0,5909731.0,7261238.0,12527830.0,11438450.0,447556.0,1207887.0,2792262.0,0.0,898987556.0,222144.4665740846,39621.531755484495,256.4855221084989,1460.3250421314303,2658.283459274598,1794.289399682717,3095.6914743776656,2826.5000518920842,0.0,1108263259.0,-0.9168075020163962,,-0.268903496983741,-3.5963264919446964,1.8226275886939405,-8.32252208620278,1.5681916922432197,0.9969146668487561,-0.06321159458782939
1,1,Anne Arundel,10878905.0,5932486.0,642370758.0,3234165.0,255692742.0,5623623.0,39292252.0,64260296.0,48334174.0,0.0,1075619401.0,1,Anne Arundel,10955964.0,5923793.0,602335546.0,3408750.0,255748769.0,7007175.0,40803306.0,68999695.0,48343691.0,4575043.0,12584831.0,14932838.0,0.0,634428258.0,156770.4981145876,63196.841254701176,842.3197244283222,1731.509120651567,2707.275270209496,10082.707580692191,17050.180880979326,11945.975645315133,0.0,1075619401.0,0.7083341567924345,-0.14653216206494207,-1.236435485439703,5.398147589872502,0.021911846054668224,24.60250269265916,3.845679295755305,7.375314611062482,0.01969000235733831
2,2,Baltimore,26104589.0,8949550.0,688913628.0,520575.0,629156446.0,9006393.0,55296353.0,85935674.0,66409177.0,0.0,1570292385.0,2,Baltimore,26092159.0,8946629.0,667432491.0,770537.0,626772762.0,10397891.0,56816757.0,89579847.0,66301467.0,1776463.0,8572478.0,6832904.0,0.0,684614336.0,169171.73709987497,154878.7855275448,190.40367099430176,2569.3725505700713,6447.507203115501,14039.714000484326,22135.642695818486,16383.434811186944,0.0,1570292385.0,-0.04761614902268716,-0.03263851255091038,-0.6240683628920751,48.01652019401623,-0.3788698367718861,15.4501141577988,2.7495556533357632,4.240582322074998,-0.1621914392946023
3,3,Calvert,6406620.0,9428154.0,370625968.0,1865814.0,132422067.0,1140618.0,7393897.0,17525537.0,10976975.0,0.0,557785650.0,3,Calvert,6414317.0,9418095.0,358618207.0,1444707.0,133511106.0,1203573.0,8246301.0,18939879.0,11014563.0,881747.0,5498817.0,2594338.0,0.0,367593109.0,90834.15512273714,32991.2836124798,356.9945587443104,297.4091023657848,1585.0108479166563,2037.7035528780339,4680.141887784604,2721.755385657028,0.0,557785650.0,0.1201413537871764,-0.1066910871417671,-0.8183072050688041,-22.56961304824597,0.822399940336228,5.519376338090404,11.52848085387178,8.07017782108474,0.34242585047337726
4,4,Caroline,6740420.0,7487880.0,302809142.0,3173199.0,483916637.0,1917745.0,6252554.0,9589821.0,8766037.0,0.0,830653435.0,4,Caroline,7194288.0,7475647.0,300960414.0,1997168.0,482271349.0,2639953.0,6746721.0,10786172.0,8832206.0,449611.0,652136.0,647770.0,0.0,302709931.0,74801.18684609796,119171.74031224208,493.51052420889283,652.346016417667,1777.745709018844,1667.149592523586,2665.318790370806,2182.483703414499,0.0,830653435.0,6.733526990899677,-0.16337067367532598,-0.03276354186162583,-37.06136929956173,-0.3399940969584809,37.65922998104544,7.903442337323276,12.475217212083521,0.754833683681691
5,5,Carroll,11292620.0,0.0,390455929.0,784268.0,707153587.0,1935136.0,16511873.0,25780282.0,18551848.0,0.0,1172465543.0,5,Carroll,11308719.0,0.0,387325863.0,1229797.0,700788899.0,2957002.0,17370104.0,27004074.0,18649368.0,506342.0,3339429.0,1985946.0,0.0,393157580.0,97151.26789659142,173168.5551266908,303.8891881606974,730.6904612464973,2794.4428519889493,4292.242380512298,6672.846107846577,4608.3551197718725,0.0,1172465543.0,0.1425621334995776,,0.6919221349562348,56.808259421524276,-0.9000432320510876,52.805900980602914,5.1976598899470705,4.747007810077484,0.5256619178854851
6,6,Cecil,18986890.0,6992490.0,396752560.0,1012539.0,436096498.0,5551691.0,10749586.0,22126744.0,15785162.0,0.0,914054160.0,6,Cecil,19023939.0,6979748.0,391769911.0,1428495.0,432424330.0,6894327.0,11700680.0,23695052.0,15787201.0,430788.0,1039683.0,2880006.0,0.0,396120388.0,97883.3930504144,106854.28455642152,352.98848984150675,1703.6237972156189,4700.913547787667,2891.29843878958,5855.169687115443,3901.098876659929,0.0,914054160.0,0.1951293761116223,-0.18222407182563008,-0.15933659003989792,41.080491714393226,-0.8420539987917995,24.184271062636594,8.847726786873466,7.0878390422016,0.012917194007891717
7,7,Charles,10358054.0,19674790.0,804500309.0,4412372.0,293946340.0,5654168.0,12787316.0,23896326.0,16847985.0,0.0,1192077660.0,7,Charles,10576990.0,19518864.0,796371241.0,4607367.0,293376125.0,5987622.0,13917988.0,25471868.0,17261127.0,624296.0,2343747.0,2020425.0,0.0,801359709.0,198020.12152631916,72494.75519291499,1138.5041736062033,1479.5723103838532,2613.6288381609443,3439.2066935846556,6294.230094443593,4265.313601162383,0.0,1192077660.0,2.1136788821529606,-0.7925167180945769,-0.3903789675238024,4.419278338272475,-0.19398608603189274,5.897490134711243,8.84213700513853,6.593239479575229,2.4521745478762
8,8,Dorchester,113406728.0,319630468.0,554425738.0,4879807.0,458889477.0,2039814.0,5613792.0,11417112.0,9764221.0,0.0,1480067157.0,8,Dorchester,113523870.0,319496663.0,552030774.0,3661095.0,458393339.0,2654665.0,5822788.0,12090200.0,9749254.0,410416.0,1060397.0,1173696.0,0.0,554675283.0,137063.12622625937,113271.36075871169,904.675476789412,655.9814275759478,28052.334402475004,1438.840977943393,2987.5508418872905,2409.090998947332,0.0,1480067157.0,0.10329369523825783,-0.04186240468164631,0.045009634816051775,-24.974594282109926,-0.1081171011467757,30.14250318901625,3.7229024516761577,5.895431349013656,-0.15328411759627317
9,9,Frederick,15845381.0,0.0,735075139.0,2572029.0,863061785.0,7362546.0,22735655.0,48721871.0,33221951.0,0.0,1728596357.0,9,Frederick,15917058.0,0.0,720565440.0,2430191.0,856745900.0,9388939.0,24001978.0,51014504.0,33753938.0,1423500.0,8337373.0,5017536.0,0.0,735343849.0,181707.26167942552,211706.33528216937,600.5127432132567,2320.0553021354826,3933.1872118136034,5931.012686379069,12605.947327063452,8340.77235189752,0.0,1728596357.0,0.45235264459718577,,0.036555446612648944,-5.514634555053617,-0.7317998676073927,27.52299272561421,5.569766958550348,4.705552050741237,1.6013117351235635
10,10,Garrett,26710225.0,1072.0,1242574252.0,14414413.0,384308552.0,7072683.0,5215346.0,10821441.0,12482874.0,0.0,1703600858.0,10,Garrett,26748686.0,1072.0,1228919920.0,13395642.0,392593732.0,6678530.0,5335290.0,11098206.0,12485865.0,615324.0,781075.0,4947516.0,0.0,1235263835.0,305240.07131455006,97011.93814463558,3310.1323001042783,1650.2992443524115,6609.738414474432,1318.3777051837722,2742.4240028071144,3085.3217062117296,0.0,1703600858.0,0.14399354554295218,0.0,-0.5883283826486371,-7.067724506020467,2.1558666745464463,-5.57289221077772,2.2998282376663024,2.55756141903837,0.02396082825157091
