,OID_,GEOID,Water_A,Wet_A,TC_A,Shrub_A,LowVeg_A,Barren_A,Struc_A,Imperv_A,Road_A,TCoS_A,TCoI_A,TCoR_A,Can_A,Non_Can_A,Total_A,Can_P_Total,Non_Can_P_Total,NAME
0,0,24001,10719728,0,93302962,28440,17390111,423958,884714,2495637,3118800,68422,234653,514312,94120349,24341660,118462009,79.45192707,20.54807293,Allegany
1,1,24003,10615443,2991015,81019167,532735,18063161,671718,1530339,3717535,3879462,267099,607165,1017955,82911386,31385965,114297351,72.54007663,27.45992337,Anne Arundel
2,2,24005,25978244,5152636,92073475,104519,48479846,1141604,2023880,5624444,5939894,82937,445590,721576,93323578,68466823,161790401,57.68177681,42.31822319,Baltimore
3,3,24009,6157706,5359575,45503286,228955,6857491,341893,301314,770768,466422,55286,243227,105267,45907066,14326418,60233484,76.21519287,23.78480713,Calvert
4,4,24011,6662799,4351697,56586610,274110,28458703,241201,263492,696694,949013,33442,53715,90617,56764384,35234910,91999294,61.70089088,38.29910912,Caroline
5,5,24013,11059446,0,62888923,189866,46005885,241427,313983,1239079,1785267,14561,186634,352900,63443018,49775507,113218525,56.03589872,43.96410128,Carroll
6,6,24015,18638813,4176682,61296646,133126,24891132,960525,490782,2472128,1430833,29489,118785,337785,61782705,34555208,96337913,64.13124706,35.86875294,Cecil
7,7,24017,10145097,11969498,98290960,629214,19325878,459959,480536,1273481,1106829,27021,96683,148158,98562822,35245395,133808217,73.65976785,26.34023215,Charles
8,8,24019,112088434,135596754,75760707,673268,35902534,863609,376594,1483821,1550290,45594,118787,173137,76098225,176446870,252545095,30.1325294,69.8674706,Dorchester
9,9,24021,15601703,0,106633816,298793,57153074,781415,767134,3659684,3735008,73885,703085,964322,108375108,66395108,174770216,62.01005553,37.98994447,Frederick
10,10,24023,26688600,12,114447727,2605414,25921618,426788,328604,1991585,1949210,46295,107948,798094,115400064,33223231,148623295,77.6460137,22.3539863,Garrett
11,11,24025,15592237,1025737,71186131,195171,25446965,333308,511762,1565985,1938300,68644,162502,424191,71841468,31017228,102858696,69.84481701,30.15518299,Harford
12,12,24027,6836763,0,50062229,105356,16689747,238328,588719,1790429,2163585,38648,303065,278575,50682517,21576164,72258681,70.14038493,29.85961507,Howard
13,13,24029,15002167,6631333,40020054,27552,29809207,188596,403546,1229986,603709,14731,106756,56683,40198224,38893929,79092153,50.82454134,49.17545866,Kent
14,14,24031,28448913,18934,93631126,246824,29885568,278982,1422544,2747921,4241395,82934,416340,899705,95030105,38842168,133872273,70.98565138,29.01434862,Montgomery
15,15,24033,10692393,3721668,85342303,919818,25875021,1002134,1575436,5455237,5157049,73464,763051,419324,86598142,43706363,130304505,66.45828707,33.54171293,Prince George's
16,16,24035,12447389,7914023,58821749,221872,30553636,444962,339082,1027683,1054246,26236,18777,91155,58957917,41555504,100513421,58.65676087,41.34323913,Queen Anne's
17,17,24037,14669870,7600075,70856570,40993,21141190,818522,748672,1893842,1254909,91749,294131,172835,71415285,33498203,104913488,68.07064217,31.92935783,St. Mary's
18,18,24039,31177703,93387403,41788246,64748,22456953,712341,379055,1206868,758113,10723,113333,86689,41998991,118965481,160964472,26.09208758,73.90791242,Somerset
19,19,24041,14481614,8378528,38807163,16108,24886126,326791,473095,948941,599221,58881,90055,108171,39064270,35628810,74693080,52.29971772,47.70028228,Talbot
20,20,24043,32300587,11,70738462,122645,48979552,876221,919392,3274870,2591262,69747,155392,458755,71422356,56763953,128186309,55.71761646,44.28238354,Washington
21,21,24045,14576837,23853755,67350360,42465,42302616,373953,1509745,3842656,3124957,112338,209532,323985,67996215,75050147,143046362,47.53438958,52.46561042,Wicomico
22,22,24047,301619690,42640310,84010734,363494,37600348,961562,1387694,3057180,1169633,126895,135632,174847,84448108,87180221,171628329,49.20406118,50.79593882,Worcester
23,23,24510,1287807,39573,7182778,13956,4112099,215408,1929794,4830567,3065641,123456,488536,519073,8313843,14207038,22520881,36.9161535,63.0838465,Baltimore City
