STATE_ELIGIBLE,JURSCODE,TC_ID,2018_Total_A,2018_Can_A,2018_LowVeg_A,2018_Barren_A,2018_Water_A,2018_Build_A,2018_Road_A,2018_Shrub_A,2018_Wetlands_A,2018_Imperv_A,2013_Total_A,2013_Can_A,2013_LowVeg_A,2013_Barren_A,2013_Water_A,2013_Build_A,2013_Road_A,2013_Shrub_A,2013_Wetlands_A,2013_Imperv_A,Can_Pchange,LowVeg_Pchange,Barren_Pchange,Water_Pchange,Build_Pchange,Road_Pchange,Shrub_Pchange,Wetlands_Pchange,Imperv_Pchange
YES,PRIN,1,434344,193883,150779,50,6675,26948,22186,3255,0,30568,434344,207106,139377,50,6675,26948,22201,3284,0,28703,-6.384653269,8.180689784,0,0,0,-0.067564524,-0.883069428,0,6.49757865
YES,PRIN,2,1127441,926448,99907,67387,0,9065,4023,7212,0,13399,1127441,1058890,55001,20,0,83,2042,10898,0,507,-12.50762591,81.64578826,336835,0,10821.68675,97.01273262,-33.82271977,0,2542.800789
YES,PRIN,3,11550588,5877627,3183598,55103,64763,534604,861338,157453,0,816102,11550588,6121750,3034659,56726,62688,519624,864216,160052,0,730873,-3.987797607,4.907931995,-2.861121884,3.310043389,2.882853756,-0.333018597,-1.62384725,0,11.66125989
YES,PRIN,4,198987,85250,60558,68,0,17187,17229,1068,0,17627,198987,89142,56789,68,0,17187,17477,1122,0,17202,-4.366067622,6.636848685,0,0,0,-1.419007839,-4.812834225,0,2.470642948
YES,PRIN,5,76906,34127,18119,0,93,7805,5021,54,0,11687,76906,36974,15439,0,93,7802,5044,54,0,11500,-7.700005409,17.35863722,0,0,0.038451679,-0.455987312,0,0,1.626086957
YES,PRIN,6,3661,1974,1319,0,0,236,2,0,0,130,3661,2157,1180,0,0,236,2,0,0,86,-8.484005563,11.77966102,0,0,0,0,0,0,51.1627907
YES,PRIN,7,62505,13940,12456,0,0,10002,12907,6,0,13194,62505,15095,11417,0,0,10002,12907,6,0,13078,-7.651540245,9.10046422,0,0,0,0,0,0,0.886985778
YES,PRIN,8,9823,7029,2099,0,0,233,160,0,0,302,9823,7207,1918,0,0,233,163,0,0,302,-2.469821007,9.436913452,0,0,0,-1.840490798,0,0,0
YES,PRIN,9,182384,33760,40110,0,1086,38134,12971,59,0,56264,182384,34881,39460,0,1086,38134,12971,59,0,55793,-3.213784008,1.647237709,0,0,0,0,0,0,0.844191924
YES,PRIN,10,257402,28504,40522,0,3301,54677,25064,574,0,104760,257402,28461,41188,0,3301,54703,25064,583,0,104102,0.151083939,-1.616975818,0,0,-0.047529386,0,-1.54373928,0,0.632072391
YES,PRIN,11,360650,120279,92917,0,0,34511,70827,685,0,41431,360650,127897,86858,0,0,34585,71045,703,0,39562,-5.956355505,6.975753529,0,0,-0.213965592,-0.306847773,-2.560455192,0,4.724230322
YES,PRIN,12,148928,24819,21715,0,0,24435,22492,329,0,55138,148928,26964,20205,0,0,24435,22650,342,0,54332,-7.955051179,7.473397674,0,0,0,-0.697571744,-3.801169591,0,1.483471987
YES,PRIN,13,13779695,5198447,3340907,54693,214139,1378389,1142295,34810,0,2416015,13779695,5539493,3155376,35757,214154,1337152,1149587,36129,0,2312047,-6.156628413,5.879838092,52.95746287,-0.007004305,3.083942588,-0.634314758,-3.650806831,0,4.496794399
YES,PRIN,14,66108,42645,7237,0,0,0,13286,29,0,2911,66108,43659,6304,0,0,0,13321,29,0,2795,-2.32254518,14.8001269,0,0,0,-0.262743037,0,0,4.150268336
YES,PRIN,15,7008723,5038044,581195,2697,16709,282198,426091,2424,0,659365,7008723,5087091,537353,2089,16709,282220,426614,2424,0,654223,-0.964146307,8.158882522,29.10483485,0,-0.007795337,-0.122593258,0,0,0.785970533
YES,PRIN,16,931219,378810,230400,315,1907,60608,64810,14165,0,180204,931219,404675,214982,0,1907,60608,65252,14526,0,169269,-6.391548774,7.171763217,0,0,0,-0.677373874,-2.485198954,0,6.460131507
YES,PRIN,17,6753,5478,629,0,0,517,0,0,0,129,6753,5581,527,0,0,517,0,0,0,128,-1.845547393,19.35483871,0,0,0,0,0,0,0.78125
YES,PRIN,18,10444,8336,1413,0,0,100,5,298,0,292,10444,8413,1342,0,0,100,5,298,0,286,-0.915250208,5.290611028,0,0,0,0,0,0,2.097902098
YES,PRIN,19,828468,334070,258486,1166,363,71060,72176,9449,0,81698,828468,339382,254144,1184,363,71060,72253,9534,0,80548,-1.565197919,1.708480232,-1.52027027,0,0,-0.106569969,-0.891546046,0,1.427720117
