TC_ID,2018_Total_A,2018_Can_A,2018_LowVeg_A,2018_Barren_A,2018_Water_A,2018_Build_A,2018_Road_A,2018_Shrub_A,2018_Wetlands_A,2018_Imperv_A,2013_Total_A,2013_Can_A,2013_LowVeg_A,2013_Barren_A,2013_Water_A,2013_Build_A,2013_Road_A,2013_Shrub_A,2013_Wetlands_A,2013_Imperv_A,Can_PChange,LowVeg_Pchange,Barren_Pchange,Water_Pchange,Build_Pchange,Road_Pchange,Shrub_Pchange,Wetlands_Pchange,Imperv_Pchange
1,901,844,0,0,0,57,0,0,0,0,901,844,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1799,1799,0,0,0,0,0,0,0,0,1799,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4500,4500,0,0,0,0,0,0,0,0,4500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3599,3599,0,0,0,0,0,0,0,0,3599,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9001,9001,0,0,0,0,0,0,0,0,9001,9001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10796,10745,51,0,0,0,0,0,0,0,10796,10796,0,0,0,0,0,0,0,0,-0.472397184,0,0,0,0,0,0,0,0
7,1800,1800,0,0,0,0,0,0,0,0,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,901,901,0,0,0,0,0,0,0,0,901,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3598,3598,0,0,0,0,0,0,0,0,3598,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3598,3598,0,0,0,0,0,0,0,0,3598,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2700,2700,0,0,0,0,0,0,0,0,2700,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6299,5893,406,0,0,0,0,0,0,0,6299,5893,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2701,2560,93,0,0,0,48,0,0,0,2701,2560,93,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
14,2701,2701,0,0,0,0,0,0,0,0,2701,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3599,3599,0,0,0,0,0,0,0,0,3599,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12596,12596,0,0,0,0,0,0,0,0,12596,12596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8997,7609,64,0,1289,0,35,0,0,0,8997,7609,64,0,1289,0,35,0,0,0,0,0,0,0,0,0,0,0,0
18,3599,3599,0,0,0,0,0,0,0,0,3599,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2701,2701,0,0,0,0,0,0,0,0,2701,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,16197,16197,0,0,0,0,0,0,0,0,16197,16197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4502,4502,0,0,0,0,0,0,0,0,4502,4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,901,806,95,0,0,0,0,0,0,0,901,806,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,33300,33300,0,0,0,0,0,0,0,0,33300,33300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,15298,12538,312,0,2048,0,400,0,0,0,15298,12538,312,0,2048,0,400,0,0,0,0,0,0,0,0,0,0,0,0
25,15299,15234,65,0,0,0,0,0,0,0,15299,15234,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,13497,11749,1748,0,0,0,0,0,0,0,13497,11749,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4500,4500,0,0,0,0,0,0,0,0,4500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,902,471,9,0,421,0,1,0,0,0,902,471,9,0,421,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,901,232,669,0,0,0,0,0,0,0,901,232,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,8994,8994,0,0,0,0,0,0,0,0,8994,8994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,12603,12603,0,0,0,0,0,0,0,0,12603,12603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,102591,102591,0,0,0,0,0,0,0,0,102591,102591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4498,4498,0,0,0,0,0,0,0,0,4498,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,108878,106466,1947,95,0,188,160,0,0,22,108878,107167,1341,0,0,188,160,0,0,22,-0.654119272,45.1901566,0,0,0,0,0,0,0
35,22496,22496,0,0,0,0,0,0,0,0,22496,22496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2701,2701,0,0,0,0,0,0,0,0,2701,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,897,733,22,0,142,0,0,0,0,0,897,733,22,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,13499,13499,0,0,0,0,0,0,0,0,13499,13499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2696,2696,0,0,0,0,0,0,0,0,2696,2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1800,1800,0,0,0,0,0,0,0,0,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,9003,8369,121,0,0,0,489,0,0,24,9003,8369,121,0,0,0,489,0,0,24,0,0,0,0,0,0,0,0,0
42,4499,4111,235,0,153,0,0,0,0,0,4499,4111,235,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,901,85,351,0,0,184,0,0,0,281,901,85,351,0,0,184,0,0,0,281,0,0,0,0,0,0,0,0,0
44,16197,8398,7541,0,0,172,19,0,0,67,16197,8398,7541,0,0,172,19,0,0,67,0,0,0,0,0,0,0,0,0
45,51293,45086,1848,0,4087,0,257,0,0,15,51293,45086,1848,0,4087,0,257,0,0,15,0,0,0,0,0,0,0,0,0
46,4502,4502,0,0,0,0,0,0,0,0,4502,4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2700,1724,89,0,855,0,32,0,0,0,2700,1724,89,0,855,0,32,0,0,0,0,0,0,0,0,0,0,0,0
48,51295,49178,1914,0,0,0,156,0,0,47,51295,49178,1914,0,0,0,156,0,0,47,0,0,0,0,0,0,0,0,0
49,2696,2028,0,0,668,0,0,0,0,0,2696,2028,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3599,839,2758,0,0,2,0,0,0,0,3599,839,2758,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
51,11691,11691,0,0,0,0,0,0,0,0,11691,11691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1802,941,5,0,856,0,0,0,0,0,1802,941,5,0,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,899,725,174,0,0,0,0,0,0,0,899,725,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4498,4498,0,0,0,0,0,0,0,0,4498,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,10798,10798,0,0,0,0,0,0,0,0,10798,10798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,900,900,0,0,0,0,0,0,0,0,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,24303,24303,0,0,0,0,0,0,0,0,24303,24303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,13501,13501,0,0,0,0,0,0,0,0,13501,13501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2703,2017,7,0,679,0,0,0,0,0,2703,2017,7,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,71953,66241,4744,0,100,282,0,0,0,586,71953,66230,4699,0,100,282,0,0,0,642,0.016608788,0.957650564,0,0,0,0,0,0,-8.722741433
61,353,353,0,0,0,0,0,0,0,0,353,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,9902,6035,506,0,3361,0,0,0,0,0,9902,6035,506,0,3361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2698,1842,278,0,578,0,0,0,0,0,2698,1842,278,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3599,3599,0,0,0,0,0,0,0,0,3599,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7200,6482,572,0,146,0,0,0,0,0,7200,6482,572,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,38683,38629,53,0,0,0,1,0,0,0,38683,38629,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,897,867,4,0,26,0,0,0,0,0,897,867,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2706,0,99,0,2607,0,0,0,0,0,2706,0,99,0,2607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,3601,3601,0,0,0,0,0,0,0,0,3601,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5399,3011,4,0,2384,0,0,0,0,0,5399,3011,4,0,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,96136,52948,40545,0,1164,0,0,1479,0,0,96136,52884,40572,0,1164,0,0,1516,0,0,0.12101959,-0.066548358,0,0,0,0,-2.440633245,0,0
72,815317,784341,24899,981,22,129,4187,0,0,758,815317,784291,24949,981,22,129,4187,0,0,758,0.006375185,-0.200408834,0,0,0,0,0,0,0
73,9898,3902,5334,0,662,0,0,0,0,0,9898,3902,5334,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,4498,4436,20,0,42,0,0,0,0,0,4498,4436,20,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,41393,41359,34,0,0,0,0,0,0,0,41393,41359,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,6296,6296,0,0,0,0,0,0,0,0,6296,6296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,901,814,87,0,0,0,0,0,0,0,901,814,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,897,7,336,0,0,0,375,0,0,179,897,7,336,0,0,0,375,0,0,179,0,0,0,0,0,0,0,0,0
79,3601,3601,0,0,0,0,0,0,0,0,3601,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,898,898,0,0,0,0,0,0,0,0,898,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,5405,1607,164,3634,0,0,0,0,0,0,5405,1607,164,3634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1801,1028,286,2,485,0,0,0,0,0,1801,1028,286,2,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2695,2695,0,0,0,0,0,0,0,0,2695,2695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3603,1632,609,0,1362,0,0,0,0,0,3603,1632,609,0,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,74341,58081,7991,76,7373,54,0,0,0,766,74341,58061,8039,76,7373,26,0,0,0,766,0.03444653,-0.59708919,0,0,107.6923077,0,0,0,0
86,23400,15980,4159,0,0,267,1447,1325,0,222,23400,15783,4256,0,0,260,1453,1421,0,227,1.24817842,-2.279135338,0,0,2.692307692,-0.412938747,-6.755805771,0,-2.202643172
87,8099,8099,0,0,0,0,0,0,0,0,8099,8099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3596,3596,0,0,0,0,0,0,0,0,3596,3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,899,566,333,0,0,0,0,0,0,0,899,566,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,898,898,0,0,0,0,0,0,0,0,898,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,48403,46617,1641,0,0,0,89,0,0,56,48403,46617,1641,0,0,0,89,0,0,56,0,0,0,0,0,0,0,0,0
92,4500,2308,2192,0,0,0,0,0,0,0,4500,2297,2203,0,0,0,0,0,0,0,0.478885503,-0.49931911,0,0,0,0,0,0,0
93,10798,7621,1131,0,0,1244,0,0,0,802,10798,7655,1107,0,0,1244,0,0,0,792,-0.444154148,2.16802168,0,0,0,0,0,0,1.262626263
94,879932,763454,113864,523,0,0,2091,0,0,0,879932,763413,113905,523,0,0,2091,0,0,0,0.005370619,-0.035994908,0,0,0,0,0,0,0
95,2701,2701,0,0,0,0,0,0,0,0,2701,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
