COUNTY,TC_ID,2018_Total_A,2018_Can_A,2018_LowVeg_A,2018_Barren_A,2018_Water_A,2018_Build_A,2018_Road_A,2018_Shrub_A,2018_Wetlands_A,2018_Imperv_A,2013_Total_A,2013_Can_A,2013_LowVeg_A,2013_Barren_A,2013_Water_A,2013_Build_A,2013_Road_A,2013_Shrub_A,2013_Wetlands_A,2013_Imperv_A,Can_PChange,LowVeg_Pchange,Barren_Pchange,Water_Pchange,Build_Pchange,Road_Pchange,Shrub_Pchange,Wetlands_Pchange,Imperv_Pchange
Allegany,1,1096475634,895454950,159906546,5909420,2976014,7259709,11428719,1031611,0,12508665,1096475634,897884414,157038379,6444744,3068496,7147588,11435935,1070284,0,12385794,-0.270576475,1.826411491,-8.306365621,-3.013919523,1.568655048,-0.063099344,-3.613340011,0,0.992031678
Anne Arundel,2,1072013689,634296326,255840381,7008861,7837025,40826704,48318667,3403397,5402388,69079940,1072013689,642231920,255793602,5625335,7760170,39315174,48309231,3228641,5411171,64338445,-1.235627466,0.018287791,24.59455304,0.990377788,3.844647871,0.019532499,5.412679824,-0.162312372,7.369613922
Baltimore,3,1552576971,682812514,628344390,10507602,11067036,56842641,66425415,769115,6187738,89620520,1552576971,686795747,630982235,9036943,11104275,55307634,66625230,520741,6189722,86014444,-0.579973452,-0.418053767,16.273855,-0.335357329,2.775398058,-0.299908908,47.69626359,-0.032053136,4.192407498
Baltimore City,4,210539531,59932194,44158868,1482182,1516587,31278509,26885006,69011,72637,45144537,210539531,59481771,44856593,1472509,1552257,31050126,27114603,79943,72655,44859074,0.757245442,-1.555456965,0.656906002,-2.297944219,0.735530027,-0.846765118,-13.67474325,-0.02477462,0.636355088
Calvert,5,554943331,367525271,133456861,1297826,3597521,8250950,11012234,1447729,9419908,18935031,554943331,370550949,132378805,1229206,3588693,7398884,10974640,1869027,9432704,17520423,-0.816534948,0.814372059,5.582465429,0.245994851,11.51614216,0.342553378,-22.54103338,-0.135655693,8.074051637
Caroline,6,829239593,302567017,482168049,2639832,6242394,6746288,8840746,1997163,7256408,10781696,829239593,302668863,483811035,1917857,5788430,6252121,8774803,3173194,7267461,9585829,-0.033649315,-0.339592502,37.64488176,7.842610172,7.903989702,0.751504051,-37.0614277,-0.152088879,12.47536337
Carroll,7,1163814693,392052775,700492012,2983325,4018542,17373903,18638715,1229807,0,27025614,1163814693,389356601,706869562,1942755,4002285,16515406,18541131,784278,0,25802675,0.692469061,-0.902224447,53.56156592,0.406192962,5.198158616,0.526310935,56.80753508,0,4.739582233
Cecil,8,903084895,395596011,432157376,6898060,8893892,11717484,15774884,1429362,6939227,23678599,903084895,396221581,435833225,5557997,8856677,10766359,15772815,1013462,6952740,22110039,-0.157883879,-0.843407246,24.11053838,0.420191456,8.834230774,0.013117506,41.03755247,-0.194355031,7.094333936
Charles,9,1192182376,801172812,293306450,5993254,10916233,13916905,17261994,4603233,19531330,25480165,1192182376,804322629,293870059,5658572,10694981,12786352,16848807,4408315,19689448,23903213,-0.391611138,-0.191788507,5.914601776,2.068746078,8.84187296,2.452321995,4.421598729,-0.803059588,6.597238622
Dorchester,10,1404769794,554377761,458346211,2660941,38655101,5829219,9723093,3659663,319443473,12074332,1404769794,554124538,458844963,2045178,38537771,5620338,9738060,4878373,319578471,11402102,0.04569785,-0.108697281,30.1080395,0.304454557,3.716520252,-0.153695911,-24.98189458,-0.04224252,5.895667308
Frederick,11,1716012216,732565867,856450557,9349394,6496065,24005465,33737641,2413475,0,50993752,1716012216,732279975,862782217,7323081,6423472,22739181,33206769,2555278,0,48702243,0.039041352,-0.733865381,27.67022514,1.130120907,5.568731785,1.598686099,-5.549415758,0,4.705140583
Garrett,12,1699546941,1234021507,391951580,6658754,24648392,5333944,12479738,13366669,139,11086218,1699546941,1241328171,383670525,7038420,24624992,5214001,12476741,14384604,139,10809348,-0.588616626,2.158376644,-5.394193583,0.095025412,2.300402321,0.024020696,-7.076559077,0,2.561394082
Harford,13,982105671,448849836,440171187,4366685,4895345,23725991,23755830,1537869,1948536,32854392,982105671,449363782,444426733,3917484,4914218,22505966,23650976,1357291,1950534,30018687,-0.114371923,-0.957536009,11.46656885,-0.384048896,5.420895953,0.443338998,13.3042951,-0.102433487,9.446465796
Howard,14,652224018,321329679,237127833,2663269,3920442,24251794,25235584,639854,0,37055563,652224018,324557743,238087691,3309983,3932727,22857921,24957881,395997,0,34124075,-0.994603909,-0.403153139,-19.53828766,-0.312378662,6.097986777,1.11268661,61.58051702,0,8.590673886
Kent,15,725644236,212010079,467793895,1355249,14325928,3431688,6398053,163978,11614617,8550749,725644236,211800520,469339961,1144647,13768794,3244110,6395557,164367,11615196,8171084,0.098941683,-0.32941282,18.39886009,4.046352934,5.782109731,0.039027093,-0.236665511,-0.004984849,4.646445931
Montgomery,16,1286897372,594334960,499564294,4813280,9366372,57016771,53098177,2014895,70483,66618140,1286897372,617400472,481258471,5680140,9441768,55541921,53150321,2003868,71504,62348907,-3.735907737,3.803740423,-15.26124356,-0.798536884,2.655381689,-0.098106651,0.550285747,-1.427892146,6.847326129
Prince George's,17,1255702074,649915211,348290512,16169160,11021820,54864682,58579577,6616192,8887798,101357122,1255702074,679323717,331335515,12541312,10974774,52812092,58071182,7220628,8927468,94495386,-4.329085716,5.11716862,28.92718082,0.428673975,3.886590972,0.875468662,-8.370961639,-0.444358916,7.26145084
